year,step,length_km,area_km2,eroded_m3,deposited_m3,net_change_m3,storm_event,sea_level_m
0.0,0,6391.1,419695.1,0.0,0.0,0.0,false,0.0000
2.5,1,6342.9,419689.8,48147.6,0.0,48147.6,false,0.0250
5.0,2,6276.4,419680.2,66527.7,0.0,66527.7,true,0.0500
7.5,3,6246.9,419674.4,29469.5,0.0,29469.5,false,0.0750
10.0,4,6185.2,419659.4,61759.3,0.0,61759.3,true,0.1000
12.5,5,6166.3,419653.5,18812.1,0.0,18812.1,false,0.1250
15.0,6,6149.4,419647.6,16911.5,0.0,16911.5,false,0.1500
17.5,7,6134.0,419641.8,15386.5,0.0,15386.5,false,0.1750
20.0,8,6119.7,419636.0,14305.6,0.0,14305.6,false,0.2000
22.5,9,6106.2,419630.4,13496.9,0.0,13496.9,false,0.2250
25.0,10,6093.4,419624.7,12814.0,0.0,12814.0,false,0.2500
27.5,11,6081.4,419619.1,12018.3,0.0,12018.3,false,0.2750
30.0,12,6062.7,419609.8,18746.2,0.0,18746.2,true,0.3000
32.5,13,6051.9,419604.5,10715.5,0.0,10715.5,false,0.3250
35.0,14,6041.8,419599.1,10119.6,0.0,10119.6,false,0.3500
37.5,15,6032.2,419593.8,9675.7,0.0,9675.7,false,0.3750
40.0,16,6022.8,419588.6,9349.5,0.0,9349.5,false,0.4000
42.5,17,6013.7,419583.3,9065.5,0.0,9065.5,false,0.4250
45.0,18,5994.1,419570.7,19641.8,0.0,19641.8,true,0.4500
47.5,19,5985.8,419565.7,8256.6,0.0,8256.6,false,0.4750
50.0,20,5977.9,419560.7,7956.3,0.0,7956.3,false,0.5000
