year,step,length_km,area_km2,eroded_m3,deposited_m3,net_change_m3,storm_event,sea_level_m
0.0,0,6391.1,419695.1,0.0,0.0,0.0,false,0.0000
3.3,1,6342.9,419689.8,48140.1,0.0,48140.1,false,0.0233
6.7,2,6303.2,419684.3,39713.9,0.0,39713.9,false,0.0466
10.0,3,6269.7,419678.7,33500.0,0.0,33500.0,false,0.0699
13.3,4,6241.1,419672.9,28618.9,0.0,28618.9,false,0.0932
16.6,5,6216.1,419667.1,25027.2,0.0,25027.2,false,0.1165
20.0,6,6193.9,419661.3,22203.0,0.0,22203.0,false,0.1399
23.3,7,6174.1,419655.4,19714.3,0.0,19714.3,false,0.1632
26.6,8,6156.3,419649.5,17795.2,0.0,17795.2,false,0.1865
30.0,9,6140.2,419643.6,16174.5,0.0,16174.5,false,0.2098
33.3,10,6125.2,419637.8,14977.3,0.0,14977.3,false,0.2331
36.6,11,6111.3,419632.1,13883.1,0.0,13883.1,false,0.2564
40.0,12,6098.2,419626.5,13114.6,0.0,13114.6,false,0.2797
43.3,13,6085.8,419620.8,12409.5,0.0,12409.5,false,0.3030
46.6,14,6074.0,419615.2,11805.7,0.0,11805.7,false,0.3263
50.0,15,6063.0,419609.7,10996.0,0.0,10996.0,false,0.3497
53.3,16,6052.2,419604.3,10804.1,0.0,10804.1,false,0.3730
