year,step,length_km,area_km2,eroded_m3,deposited_m3,net_change_m3,storm_event,sea_level_m
0.0,0,6391.1,419695.1,0.0,0.0,0.0,false,0.0000
2.0,1,6280.4,419681.6,110640.3,0.0,110640.3,true,0.0000
4.0,2,6250.9,419675.8,29566.6,0.0,29566.6,false,0.0000
6.0,3,6189.9,419661.1,60992.2,0.0,60992.2,true,0.0000
8.0,4,6150.4,419648.4,39464.2,0.0,39464.2,true,0.0000
10.0,5,6104.8,419629.5,45591.3,0.0,45591.3,true,0.0000
12.0,6,6092.3,419624.1,12517.7,0.0,12517.7,false,0.0000
14.0,7,6080.6,419618.7,11678.1,0.0,11678.1,false,0.0000
16.0,8,6048.5,419602.0,32129.7,0.0,32129.7,true,0.0000
18.0,9,6028.2,419590.8,20260.2,0.0,20260.2,true,0.0000
20.0,10,6018.9,419585.7,9356.3,0.0,9356.3,false,0.0000
22.0,11,6010.1,419580.8,8737.5,0.0,8737.5,false,0.0000
24.0,12,6001.7,419575.8,8382.6,0.0,8382.6,false,0.0000
26.0,13,5993.8,419570.9,7979.5,0.0,7979.5,false,0.0000
28.0,14,5986.2,419566.1,7574.4,0.0,7574.4,false,0.0000
30.0,15,5966.5,419552.2,19663.0,0.0,19663.0,true,0.0000
32.0,16,5948.4,419539.3,18126.1,0.0,18126.1,true,0.0000
34.0,17,5941.6,419535.2,6841.8,0.0,6841.8,false,0.0000
36.0,18,5928.7,419525.5,12817.5,0.0,12817.5,true,0.0000
38.0,19,5913.1,419513.0,15610.8,0.0,15610.8,true,0.0000
40.0,20,5899.5,419501.6,13639.0,0.0,13639.0,true,0.0000
